Sl. No.,Classification,Name and address of the industry,Latitude,Longitude,Remarks,Source
135,Cement,"Kalaburagi Cement Private Limited (Vicat Sagar Cement Limited), Sy. No. 1 to 138,
Chatrasal Village, Chincholi Taluk, Kalburgi District",17.4610238,77.4192758,,KSPCB 17 Category List
136,Cement,"J K Cement Works Muddapura village, Mudhol Taluk, Bagalkot District",16.208824,75.303984,,KSPCB 17 Category List
137,Cement,"Dalmia Cements Limited, Yadawad Village, Gokak Taluk, Belgaum District.",16.2339301,75.1835032,,KSPCB 17 Category List
138,Cement,"Shri Keshav Cements & Infra Ltd., Plant ?II,  (Previously known as M/s. Shree Quality Cement Ltd.)Sy. No. 15/4, 88/1A, 88/1B, 88/2, 88/3, 88/4+5+6, Naganapur Village, Mudhol Taluk, Bagalkot District.",16.1714232,75.3617793,,KSPCB 17 Category List
139,Cement,"Shree Keshav Cements & Infra Ltd. Plant-I (Katwa Udyog Limited), Kaladagi,
Bagalkot.",16.2049622,75.5014641,,KSPCB 17 Category List
140,Cement,"Heidelberg Cement India Ltd.    (Mysore Cements), Ammasandra, Tumkur District.",13.2707123,76.7225688,,KSPCB 17 Category List
141,Cement,"South India Cements, No.67, Malkhed village,Sedam Taluk Kalburgi District",17.1300263,77.1662351,,KSPCB 17 Category List
142,Cement,"Orient Cement Limited, Itagi village, Chittapura taluk, Kalburgi distrct",17.1181765,77.0830256,,KSPCB 17 Category List
143,Cement,"Shree Cements Limited, ( Karnataka Cement project), Benakanahalli & Korla
village, Sedam taluk and Kalburgi District",17.1783909,77.2872658,,KSPCB 17 Category List
144,Cement,"Ratna Cements Ltd., Yadwad Village, Gokak Taluk, Belgaum District.",16.1591849,74.8156199,,KSPCB 17 Category List
145,"Dyes and Dye
intermidiates","BASF India Ltd., (ISO 14000) Bala Village, Mangalore, D.K. District ? 574 149",12.9141417,74.8559568,,KSPCB 17 Category List
146,"Dyes and Dye
intermidiates","S.F.Dyes Ltd., Lpot No.21 P, KIADB Induatrial Area, Hoskote, Bangalore Rural
District",13.0692593,77.7982428,,KSPCB 17 Category List
147,"Dyes and Dye
intermidiates","M/S. Huebright Colors Pvt. Ltd.,  Plot No. 29 B 1st Main Road, 1st Phase, Kiadb
Industrial Area,   Malur Takul, Kolar District.",12.9869325,77.9210307,,KSPCB 17 Category List
148,Fertilizer,"Coramandel International Limited (Tungabhadra Fertilizer & Chemicals Ltd.,)survey
No.101-102, Koppal District.",15.6218951,76.1783739,,KSPCB 17 Category List
149,Fertilizer,"Mangalore Chemicals & Fertilizers Ltd., Panambur, Mangalore. D.K. Dist.",12.9530213,74.8011783,,KSPCB 17 Category List
150,Fertilizer,"KPR Fertilizers Chemicals Ltd., survey No.108 & 109, Halavarthi village, Kunikeri
(Post), Koppal taluk & District.",14.3947381,76.0834258,,KSPCB 17 Category List
151,Oil Refinery,"Mangalore Refinery &  Petrochemicals Limited, Kuthethoor P.O., Via
Katipalla,Moodpadav, Mangalore ? 574 149.",12.9806045,74.7973392,,KSPCB 17 Category List
152,Paper and pulp,"Harihar Polyfibers (ISO 14000) Kumarapatnam, Near Harihar, Haveri District.",14.5270778,75.7923778,,KSPCB 17 Category List
153,Paper and pulp,"West Coast Paper Mills, Bangurnagar, Dandeli, Haliyal Taluk, U.K.District.",15.2519375,74.6286875,,KSPCB 17 Category List
154,Paper and pulp,"Grasilene division, Unit of Grasim Industries, Kumarapattanam, Ranebennur Taluk, Haveri District",14.5241297,75.7870276,,KSPCB 17 Category List
155,Pesticides,"Nichino Chemical India Private Limited, (Formerly Nectar CropScience  Limited),
Plot No. 50,82,83 & 84, KIADB Industrial Area, Humnabad, Bidar District",17.7628844,77.0938583,,KSPCB 17 Category List
156,Petrochemical,"OMPL Petrochemicals Limited, MSEZ, Permude, Mangalore",12.9917606,74.8719325,,KSPCB 17 Category List
157,Sugar,"Laila Sugars Ltd., (Previously M/s.Bhagyalakshmi SSK Niyamit), Khanapura ? 592
302, Belgaum District.",15.6434234,74.5442766,,KSPCB 17 Category List
158,Sugar,"The Ghataprabha SSK Niyamit, Singlapur village, Gokak Taluk, Belgaum District.",16.192395,74.819522,,KSPCB 17 Category List
159,Sugar,"Shree Renuka Sugars (Previously M/s.Raibag SSK Niyamit), Bavachi village, Raibag
Taluk, Belgaum District.",16.4941345,74.7746684,,KSPCB 17 Category List
160,Sugar,"Sri Malaprabha Sahakari Sakkare Karkhane Niyamit,  M.K.Hubli ? 591 153, Belgaum
District.",15.7216978,74.6927354,,KSPCB 17 Category List
161,Sugar,"Shri Shivsagar Sugars & Agro Products Ltd. Udapudi (P), Ramdurga Tq, Belgaum
Dist.",16.0730972,75.2599377,,KSPCB 17 Category List
162,Sugar,"Harsha Sugars Limited,
SY. 411/1, 411/2, 413/1, 412,411/3, of Savadatti village,  Savadatti taluk, Belagavi District",15.7521513,75.1253492,,KSPCB 17 Category List
163,Sugar & Co-Gen,"Bilagi Sugars,Badagandi village, Bilagi Taluk Bagalkot District.",16.3559662,75.6671575,,KSPCB 17 Category List
